Entity ID,Entity Name
443,"To Mack Sennett, ""for his lasting contribution to the comedy technique of the screen, the basic principles of which are as important today as when they were first put into practice, the Academy presents a Special Award to that master of fun, discoverer of stars, sympathetic, kindly, understanding comedy genius - Mack Sennett."""
444,"To Edgar Bergen for his outstanding comedy creation, ""Charlie McCarthy."""
445,To The Museum of Modern Art Film Library for its significant work in collecting films dating from 1895 to the present and for the first time making available to the public the means of studying the historical and aesthetic development of the motion picture as one of the major arts.
446,To W. Howard Greene for the color photography of A Star Is Born .  (This Award was recommended by a committee of leading cinematographers after viewing all the color pictures made during the year.)
447,Darryl F. Zanuck
448,To AGFA ANSCO CORPORATION for Agfa Supreme and Agfa Ultra Speed pan motion picture negatives.
449,"To WALT DISNEY PRODUCTIONS, LTD. for the design and application to production of the Multi-Plane Camera."
450,To EASTMAN KODAK COMPANY for two fine-grain duplicating film stocks.
451,"To FARCIOT EDOUART and PARAMOUNT PICTURES, INC. for the development of the Paramount dual screen transparency camera setup."
452,To DOUGLAS SHEARER and the METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT for a method of varying the scanning width of variable density sound tracks (squeeze tracks) for the purpose of obtaining an increased amount of noise reduction.
453,To JOHN ARNOLD and the METRO-GOLDWYN-MAYER STUDIO CAMERA DEPARTMENT for their improvement of the semi-automatic follow focus device and its application to all of the cameras used by the Metro-Goldwyn-Mayer Studio.
454,"To JOHN LIVADARY, Director of Sound Recording for Columbia Pictures Corporation, for the application of the bi-planar light valve to motion picture sound recording."
455,To THOMAS T. MOULTON and the UNITED ARTISTS STUDIO SOUND DEPARTMENT for the application to motion picture sound recording of volume indicators which have peak reading response and linear decibel scales.
456,"To RCA MANUFACTURING CO., INC. for the introduction of the modulated high-frequency method of determining optimum photographic processing conditions for variable width sound tracks."
457,"To JOSEPH E. ROBBINS and PARAMOUNT PICTURES, INC. for an exceptional application of acoustic principles to the sound proofing of gasoline generators and water pumps."
458,To DOUGLAS SHEARER and the METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT for the design of the film drive mechanism as incorporated in the ERPI 1010 reproducer.
459,James Cagney
460,Robert Donat
461,John Garfield
462,Gene Lockhart
463,Robert Morley
464,Fay Bainter
465,Wendy Hiller
466,Margaret Sullavan
467,Billie Burke
468,Spring Byington
469,Miliza Korjus
470,The Adventures of Robin Hood
471,The Adventures of Tom Sawyer
472,Alexander's Ragtime Band
473,Algiers
474,Carefree
475,The Goldwyn Follies
476,If I Were King
477,Mad about Music
478,Marie Antoinette
479,Merrily We Live
480,Army Girl
481,The Buccaneer
482,The Great Waltz
483,Jezebel
484,Suez
485,Vivacious Lady
486,You Can't Take It with You
487,The Young in Heart
488,Angels with Dirty Faces
