Entity ID,Entity Name
242,City of Wax
243,Strikes and Spares
244,Hide-Out
245,Manhattan Melodrama
246,The Richest Girl in the World
247,"To Shirley Temple, in grateful recognition of her outstanding contribution to screen entertainment during the year 1934."
248,"To ELECTRICAL RESEARCH PRODUCTS, INC. for their development of the Vertical Cut Disc Method of recording sound for motion pictures (hill and dale recording)."
249,"To COLUMBIA PICTURES CORPORATION for their application of the Vertical Cut Disc Method (hill and dale recording) to actual studio production, with their recording of the sound on the picture One Night of Love ."
250,To BELL AND HOWELL COMPANY for their development of the Bell and Howell Fully Automatic Sound and Picture Printer.
251,Victor McLaglen
252,Franchot Tone
253,Elisabeth Bergner
254,Miriam Hopkins
255,Merle Oberon
256,The Dark Angel
257,The Lives of a Bengal Lancer
258,Top Hat
259,David Copperfield
260,Les Miserables
261,A Midsummer Night's Dream
262,Barbary Coast
263,The Crusades
264,Busby Berkeley
265,Bobby Connolly
266,Dave Gould
267,Sammy Lee
268,Hermes Pan
269,LeRoy Prinz
270,Benjamin Zemach
271,Captain Blood
272,The Informer
273,Mutiny on the Bounty
274,Peter Ibbetson
275,Roberta
276,Gold Diggers of 1935
277,Alice Adams
278,Broadway Melody of 1936
279,Naughty Marietta
280,Ruggles of Red Gap
281,The Calico Dragon
282,Three Orphan Kittens
283,Who Killed Cock Robin?
284,How to Sleep
285,"Oh, My Nerves"
286,Tit for Tat
287,Audioscopiks
288,Camera Thrills
289,Wings over Mt. Everest
290,Bride of Frankenstein
291,I Dream Too Much
292,Love Me Forever
293,"$1,000 a Minute"
294,Thanks a Million
295,G-Men
296,The Gay Deception
297,The Scoundrel
298,"To David Wark Griffith, for his distinguished creative achievements as director and producer and his invaluable initiative and lasting contributions to the progress of the motion picture arts."
299,To AGFA ANSCO CORPORATION for their development of the Agfa infra-red film.
300,To EASTMAN KODAK COMPANY for their development of the Eastman Pola-Screen.
301,"To METRO-GOLDWYN-MAYER STUDIO for the development of anti-directional negative and positive development by means of jet turbulation, and the application of the method to all negative and print processing of the entire product of a major producing company."
302,"To WILLIAM A. MUELLER of Warner Bros.-First National Studio Sound Department for his method of dubbing, in which the level of the dialogue automatically controls the level of the accompanying music and sound effects."
303,"To MOLE-RICHARDSON COMPANY for their development of the ""Solar-spot"" spot lamps."
304,To DOUGLAS SHEARER and METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT for their automatic control system for cameras and sound recording machines and auxiliary stage equipment.
305,"To ELECTRICAL RESEARCH PRODUCTS, INC. for their study and development of equipment to analyze and measure flutter resulting from the travel of the film through the mechanisms used in the recording and reproduction of sound."
306,"To PARAMOUNT PRODUCTIONS, INC. for the design and construction of the Paramount transparency air turbine developing machine."
307,"To NATHAN LEVINSON, Director of Sound Recording for Warner Bros.-First National Studio, for the method of intercutting variable density and variable area sound tracks to secure an increase in the effective volume range of sound recorded for motion pictures."
308,Gary Cooper
309,Walter Huston
310,Spencer Tracy
311,Mischa Auer
312,Walter Brennan
313,Stuart Erwin
314,Basil Rathbone
315,Akim Tamiroff
316,Gladys George
317,Carole Lombard
318,Luise Rainer
319,Beulah Bondi
320,Alice Brady
321,Bonita Granville
322,Maria Ouspenskaya
323,Gale Sondergaard
324,Anthony Adverse
325,Dodsworth
326,The Great Ziegfeld
327,Lloyds of London
328,The Magnificent Brute
329,Romeo and Juliet
330,Winterset
331,The Charge of the Light Brigade
332,The Garden of Allah
333,The Last of the Mohicans
334,San Francisco
335,The General Died at Dawn
336,The Gorgeous Hussy
337,Seymour Felix
338,Jack Haskell
339,Russell Lewis
340,Mr. Deeds Goes to Town
341,My Man Godfrey
342,Come and Get It
343,A Tale of Two Cities
344,Theodora Goes Wild
345,Suzy
346,Born to Dance
347,Trail of the Lonesome Pine
348,Pennies from Heaven
349,Swing Time
350,"Sing, Baby, Sing"
351,Libeled Lady
352,The Story of Louis Pasteur
353,Three Smart Girls
354,The Country Cousin
355,Old Mill Pond
356,Sinbad the Sailor
357,Give Me Liberty
358,La Fiesta de Santa Barbara
359,Popular Science J-6-2
360,Bored of Education
361,Moscow Moods
362,"Wanted, a Master"
363,Double or Nothing
364,Dummy Ache
365,The Public Pays
366,Banjo on My Knee
367,General Spanky
368,The Texas Rangers
369,That Girl from Paris
370,Fury
371,After the Thin Man
372,To The March of Time for its significance to motion pictures and for having revolutionized one of the most important branches of the industry - the newsreel.
373,"To W. Howard Greene and Harold Rosson for the color cinematography of the Selznick International Production, The Garden of Allah ."
374,To DOUGLAS SHEARER and the METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT for the development of a practical two-way horn system and a biased Class A push-pull recording system.
375,To E. C. WENTE and the BELL TELEPHONE LABORATORIES for their multi-cellular high-frequency horn and receiver.
376,"To RCA MANUFACTURING CO., INC., for their rotary stabilizer sound head."
377,"To RCA MANUFACTURING CO., INC., for their development of a method of recording and printing sound records utilizing a restricted spectrum (known as ultra-violet light recording)."
378,"To ELECTRICAL RESEARCH PRODUCTS, INC. for the ERPI ""Type Q"" portable recording channel."
379,"To RCA MANUFACTURING CO., INC., for furnishing a practical design and specifications for a non-slip printer."
380,"To UNITED ARTISTS STUDIO CORP. for the development of a practical, efficient and quiet wind machine."
381,Charles Boyer
382,Robert Montgomery
383,Ralph Bellamy
384,Thomas Mitchell
385,Joseph Schildkraut
386,H. B. Warner
387,Roland Young
388,Barbara Stanwyck
389,Andrea Leeds
390,Anne Shirley
391,Claire Trevor
392,Dame May Whitty
393,Conquest
394,A Damsel in Distress
395,Dead End
396,Every Day's a Holiday
397,The Life of Emile Zola
398,Lost Horizon
399,Manhattan Merry-Go-Round
400,The Prisoner of Zenda
401,Souls at Sea
402,Walter Wanger's Vogues of 1938
403,Wee Willie Winkie
404,You're a Sweetheart
405,In Old Chicago
406,A Star Is Born
407,The Good Earth
408,Wings over Honolulu
409,Harry Losee
410,The Awful Truth
411,Stage Door
412,Captains Courageous
413,One Hundred Men and a Girl
414,The Hurricane
415,Make a Wish
416,Maytime
417,Portia on Trial
418,Quality Street
419,Snow White and the Seven Dwarfs
420,Something to Sing About
421,Way Out West
422,Mr. Dodd Takes the Air
423,Waikiki Wedding
424,Shall We Dance
425,Artists and Models
426,Educated Fish
427,The Little Match Girl
428,The Old Mill
429,The Man without a Country
430,Penny Wisdom
431,Popular Science J-7-1
432,A Night at the Movies
433,The Private Life of the Gannets
434,Romance of Radium
435,Deep South
436,Should Wives Work?
437,Torture Money
438,The Girl Said No
439,Hitting a New High
440,Topper
441,Wells Fargo
442,Black Legion
